customer_id,first_name,last_name,email,phone,gender,city,state,country,registration_date,customer_status
1,,Lee,user1@mail.com,9417457348,M,Dallas,,USA,2025-03-23,Inactive
-10,Alice,Smith,user-10@mail.com,9521985085,M,NYC,CA,USA,2025-05-01,Active
3,John,Patel,user3@mail.com,9893061633,F,NYC,CA,USA,2024-01-26,Active
4,,Patel,,9815196858,M,NYC,CA,USA,2024-10-26,Active
5,,Smith,user5@mail.com,9142782500,M,LA,NY,USA,2024-05-25,Active
6,,Patel,user6@mail.com,9201466925,F,NYC,CA,USA,2024-02-01,Active
7,John,Lee,user7@mail.com,9999467438,M,NYC,,USA,2024-09-09,Inactive
8,John,Patel,user8@mail.com,9622106495,M,LA,NY,USA,2025-02-01,Inactive
9,Bob,Patel,user9@mail.com,9666147197,M,NYC,,USA,2025-11-08,Inactive
10,Alice,Smith,user10@mail.com,9519404410,F,LA,,USA,2024-04-08,Active
11,Bob,Smith,user11@mail.com,9582205166,F,Dallas,NY,USA,2024-03-17,Inactive
12,Alice,,user12@mail.com,,M,Dallas,NY,USA,2025-05-26,Active
13,John,,user13@mail.com,9619794262,F,LA,CA,USA,2024-10-09,Inactive
14,Alice,,user14@mail.com,9741669688,F,Dallas,,USA,2025-06-23,Inactive
15,,Lee,user15@mail.com,9199345087,F,LA,NY,USA,2024-04-13,Active
16,,Smith,user16@mail.com,,F,LA,TX,USA,2024-03-11,Active
17,Bob,Patel,user17@mail.com,9290924336,F,LA,,USA,2025-08-29,Inactive
18,John,Patel,user18@mail.com,9804434215,M,NYC,TX,USA,2025-07-22,Active
19,John,Smith,user19@mail.com,9602241264,M,Dallas,TX,USA,2024-10-15,Active
20,,,user20@mail.com,9141493805,F,Dallas,TX,USA,2024-08-06,Active
21,Bob,,user21@mail.com,9146572707,M,Dallas,TX,USA,2024-06-23,Active
22,Bob,Lee,user22@mail.com,9208864009,F,LA,TX,USA,2024-03-05,Active
23,Bob,Smith,user23@mail.com,9394013196,F,NYC,TX,USA,2024-04-15,Active
24,Bob,Patel,user24@mail.com,9660906674,F,LA,CA,USA,2025-07-13,Inactive
25,John,,user25@mail.com,9698538991,F,LA,,USA,2024-07-22,Active
26,,Patel,user26@mail.com,9321903514,F,NYC,NY,USA,2024-01-11,Active
27,,Lee,user27@mail.com,9688350460,F,LA,CA,USA,2025-09-19,Inactive
28,,Smith,user28@mail.com,9614805562,M,LA,TX,USA,2024-02-02,Active
29,Bob,Smith,user29@mail.com,9375969209,M,NYC,,USA,2025-01-13,Inactive
30,John,,user30@mail.com,9807407884,M,Dallas,NY,USA,2024-12-26,Inactive
31,Bob,Patel,user31@mail.com,9571950341,M,LA,TX,USA,2024-03-21,Active
32,,Smith,user32@mail.com,9953446068,F,Dallas,TX,USA,2024-10-28,Inactive
33,John,Smith,user33@mail.com,9636486582,F,LA,CA,USA,2024-04-01,Inactive
34,Alice,Patel,user34@mail.com,9315867579,M,NYC,CA,USA,2024-01-08,Active
35,,Lee,user35@mail.com,9530357730,M,LA,CA,USA,2024-08-07,Active
36,Bob,Smith,user36@mail.com,9180406728,M,Dallas,NY,USA,2025-08-16,Active
37,Bob,Patel,,9129297601,M,Dallas,TX,USA,2025-06-27,Inactive
38,,Lee,user38@mail.com,9199244842,F,NYC,,USA,2024-12-09,Active
39,Alice,Smith,user39@mail.com,9722762723,M,Dallas,NY,USA,2025-08-26,Inactive
40,,Patel,user40@mail.com,9790474836,F,Dallas,CA,USA,2025-10-14,Active
41,John,,user41@mail.com,9858212145,M,LA,CA,USA,2024-01-16,Inactive
42,Bob,Patel,user42@mail.com,9202038644,F,Dallas,NY,USA,2024-12-14,Inactive
43,Alice,Patel,user43@mail.com,9188780969,F,LA,NY,USA,2024-11-18,Active
44,Bob,,user44@mail.com,9992053378,M,Dallas,,USA,2025-01-13,Active
45,John,,user45@mail.com,9771168674,F,Dallas,TX,USA,2024-08-15,Inactive
46,Bob,Lee,user46@mail.com,9469545529,F,Dallas,,USA,2025-04-27,Inactive
47,,,user47@mail.com,9990337877,F,Dallas,TX,USA,2024-09-18,Active
48,,Smith,user48@mail.com,9561324087,F,Dallas,TX,USA,2024-08-03,Inactive
49,Bob,Lee,user49@mail.com,9834601712,F,Dallas,CA,USA,2024-04-10,Inactive
